id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
6108,"CLAMP, Maria Simpson","Cardcaptor Sakura, Vol. 1 (Cardcaptor Sakura, #1)",4.3,248,620,2662,4442,10032,https://images.gr-assets.com/books/1451030958m/229145.jpg
6109,Meg Cabot,"Size 14 Is Not Fat Either (Heather Wells, #2)",3.83,274,1359,7200,9654,6519,https://images.gr-assets.com/books/1479654269m/23217.jpg
6110,Ree Drummond,The Pioneer Woman Cooks: Food from My Frontier ,4.31,448,566,2340,5273,10789,https://images.gr-assets.com/books/1344712745m/12072362.jpg
6111,Shelly Crane,"Defiance (Significance, #3)",4.31,210,593,3055,7077,11954,https://images.gr-assets.com/books/1498698186m/12706435.jpg
6112,Dian Fossey,Gorillas in the Mist,4.16,219,491,2876,6068,7226,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6113,"Jeffery Hudson, Michael Crichton",A Case of Need,3.6,291,1448,5632,5664,3012,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6114,Adelle Waldman,The Love Affairs of Nathaniel P.,3.3,730,2371,4918,4455,1822,https://images.gr-assets.com/books/1361026301m/16045140.jpg
6115,"P.C. Cast, Kristin Cast","Revealed (House of Night, #11)",3.81,895,1981,5001,5593,7717,https://images.gr-assets.com/books/1369156173m/16096873.jpg
6116,Matthew Norman,We're All Damaged,3.85,271,884,4157,6972,4204,https://images.gr-assets.com/books/1457221465m/28959148.jpg
6117,Linda Castillo,"Sworn to Silence (Kate Burkholder, #1)",4.0,343,775,4013,8761,6532,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6118,Ilona Andrews,"Magic Breaks (Kate Daniels, #7)",4.52,46,188,1910,8504,16810,https://images.gr-assets.com/books/1383236969m/12119529.jpg
6119,"Anton Chekhov, Michael Frayn",The Seagull,3.92,325,1139,4186,6442,6012,https://images.gr-assets.com/books/1443340069m/79649.jpg
6120,"Haruki Murakami, 村上 春樹","1Q84 BOOK 3 (1Q84, #3)",3.86,328,1253,4136,6260,5212,https://images.gr-assets.com/books/1327559269m/7717482.jpg
6121,Meg Cabot,"Boy Meets Girl (Boy, #2)",3.82,403,1560,6834,8503,6766,https://images.gr-assets.com/books/1328033372m/93723.jpg
6122,Louise Rennison,"Dancing in My Nuddy-Pants (Confessions of Georgia Nicolson, #4)",4.01,239,917,4872,7100,7733,https://images.gr-assets.com/books/1327885836m/402015.jpg
6123,Robert A. Heinlein,The Door Into Summer,4.0,132,745,4180,6964,6007,https://images.gr-assets.com/books/1342241886m/348.jpg
6124,Julie Anne Peters,Luna,3.86,701,1289,4401,6016,6413,https://images.gr-assets.com/books/1339269673m/316445.jpg
6125,Alice Munro,Runaway,3.98,208,812,3150,6603,5116,https://images.gr-assets.com/books/1431005856m/14280.jpg
6126,Iain M. Banks,"Matter (Culture, #8)",4.03,119,601,3581,7617,5696,https://images.gr-assets.com/books/1327954631m/886066.jpg
6127,Mia Sheridan,Leo,4.06,523,1543,5677,12088,12419,https://images.gr-assets.com/books/1366869759m/17825503.jpg
6128,E.M. Forster,Maurice,4.02,220,779,3829,7075,6385,https://images.gr-assets.com/books/1361934128m/3103.jpg
6129,"J.D. Robb, Susan Ericksen","New York to Dallas (In Death, #33)",4.42,104,329,2151,6490,11973,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6130,Ira Levin,The Stepford Wives,3.71,283,1556,6481,7954,4442,https://images.gr-assets.com/books/1403404262m/52350.jpg
6131,Cornelius Ryan,The Longest Day,4.31,114,271,1931,5826,7694,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6132,Janet Evanovich,Motor Mouth (Alex Barnaby #2),3.66,445,2206,7179,6974,5400,https://images.gr-assets.com/books/1479699584m/6426.jpg
6133,D.J. MacHale,"The Reality Bug (Pendragon, #4)",4.15,147,673,3682,6707,8330,https://images.gr-assets.com/books/1431402995m/215541.jpg
6134,David Baldacci,True Blue,3.84,298,1025,4840,7495,4842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6135,"Raymond E. Feist, Janny Wurts","Mistress of the Empire (The Empire Trilogy, #3)",4.29,92,475,2809,6470,9641,https://images.gr-assets.com/books/1333694789m/317504.jpg
6136,C.J. Redwine,Defiance (Defiance #1),3.69,1015,2377,6501,8009,6610,https://images.gr-assets.com/books/1341967711m/11410430.jpg
6137,Elin Hilderbrand,"Winter Street (Winter, #1)",3.67,283,1209,5683,6749,3214,https://images.gr-assets.com/books/1394567347m/20706316.jpg
6138,"Carolyn Keene, Mildred Benson",The Hidden Staircase (Nancy Drew #2),3.94,191,1017,7101,9091,8266,https://images.gr-assets.com/books/1172964121m/233637.jpg
6139,Taylor Caldwell,Captains and the Kings,4.11,159,546,3154,5196,6388,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6140,Daniel Silva,"The Fallen Angel (Gabriel Allon, #12)",4.17,122,432,2694,7352,6877,https://images.gr-assets.com/books/1468408514m/13390528.jpg
6141,J.K. Rowling,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",4.56,114,199,1182,3744,11111,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6142,Karen Kingsbury,"One Tuesday Morning (9/11, #1)",4.41,148,344,1663,4063,9031,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6143,Laurell K. Hamilton,"Hit List (Anita Blake, Vampire Hunter #20)",3.92,698,1756,5470,7389,9175,https://images.gr-assets.com/books/1315176487m/8935153.jpg
6144,"Stephen Briggs, Terry Pratchett",Interesting Times: The Play,4.1,90,577,3993,7240,7330,https://images.gr-assets.com/books/1387302457m/34508.jpg
6145,Mariana Zapata,The Wall of Winnipeg and Me,4.34,381,768,3473,9447,16773,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6146,Mary Higgins Clark,Let Me Call You Sweetheart,3.84,91,787,5933,6899,4865,https://images.gr-assets.com/books/1355138627m/170632.jpg
6147,Joseph Wambaugh,The Onion Field,4.13,93,441,2966,6321,6178,https://images.gr-assets.com/books/1320511693m/487445.jpg
6148,Kathy Reichs,"Break No Bones (Temperance Brennan, #9)",3.95,121,783,5491,9100,6327,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6149,Kelly McGonigal,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",4.11,351,622,2759,6388,6865,https://images.gr-assets.com/books/1436737104m/10865206.jpg
6150,Richard K. Morgan,"Broken Angels (Takeshi Kovacs, #2)",4.0,110,640,3753,7757,5324,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6151,Karin Slaughter,"Beyond Reach (Grant County, #6)",4.19,211,515,2881,6934,7986,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6152,John Scalzi,Fuzzy Nation,4.1,157,475,3311,8578,6544,https://images.gr-assets.com/books/1316132345m/9647532.jpg
6153,Sue Grafton,"I is for Innocent (Kinsey Millhone, #9)",3.9,71,549,7035,9921,5916,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6154,Thomas Pynchon,V.,3.97,439,885,3063,6006,5653,https://images.gr-assets.com/books/1328110787m/5809.jpg
6155,"Joseph Conrad, A. Michael Matin",Heart of Darkness and Selected Short Fiction,3.75,1061,1793,4477,5759,6302,https://images.gr-assets.com/books/1328851164m/989313.jpg
6156,"Bertrand Russell, Paul  Edwards",Why I Am Not a Christian and Other Essays on Religion and Related Subjects,4.03,349,700,2710,5627,5576,https://images.gr-assets.com/books/1347925703m/472025.jpg
6157,Alain de Botton,The Art of Travel,3.81,392,1020,3704,5604,4120,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6158,Paullina Simons,"The Summer Garden (The Bronze Horseman, #3)",4.13,501,1020,3136,5385,9091,https://images.gr-assets.com/books/1411993309m/608216.jpg
6159,James Patterson,"Cross Justice (Alex Cross, #23)",4.22,210,472,2241,6077,7401,https://images.gr-assets.com/books/1427135714m/25066591.jpg
6160,"Heinrich Böll, محمد اسماعیل‌زاده",عقاید یک دلقک,4.05,225,659,2598,5101,5314,https://images.gr-assets.com/books/1394632139m/326272.jpg
6161,Laura McHugh,The Weight of Blood,3.73,355,1003,5018,7310,3468,https://images.gr-assets.com/books/1395611141m/18209468.jpg
6162,Julia Quinn,"When He was Wicked (Bridgertons, #6)",4.03,245,1172,5505,9597,9486,https://images.gr-assets.com/books/1274212205m/110396.jpg
6163,Sue Grafton,"V is for Vengeance (Kinsey Millhone, #22)",3.93,140,820,5518,9761,5976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6164,Margaret Peterson Haddix,"Among the Betrayed (Shadow Children, #3)",4.06,132,723,4668,7526,7856,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6165,William Gibson,"Spook Country (Blue Ant, #2)",3.66,331,1368,5061,6307,3284,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6166,"Anonymous, Richard Wilhelm, Cary F. Baynes, C.G. Jung",The I Ching or Book of Changes,4.18,178,599,2649,4230,7044,https://images.gr-assets.com/books/1406503668m/534289.jpg
6167,John Buchan,"The 39 Steps (Richard Hannay, #1)",3.6,430,1974,7176,7516,4029,https://images.gr-assets.com/books/1391320797m/153492.jpg
6168,Joan Didion,Blue Nights,3.75,349,1371,4724,6336,4312,https://images.gr-assets.com/books/1319148558m/10252302.jpg
6169,Peter Watts,"Blindsight (Firefall, #1)",3.99,372,1034,3461,6108,6508,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6170,Nick Offerman,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,3.64,559,1411,4446,5294,3430,https://images.gr-assets.com/books/1372042175m/17674991.jpg
6171,"Scott Snyder, Stephen King, Rafael Albuquerque","American Vampire, Vol. 1",3.98,356,981,3663,7054,6353,https://images.gr-assets.com/books/1389666348m/7619398.jpg
6172,John Sandford,"Heat Lightning (Virgil Flowers, #2)",4.16,133,411,3057,7484,7216,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6173,"Alexis de Tocqueville, Isaac Kramnick, Gerald Bevan",Democracy in America ,3.99,242,919,3887,6411,6267,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6174,Harlan Coben,Drop Shot (Myron Bolitar #2),3.92,85,602,5214,9383,5094,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6175,Darren Shan,"The Lake of Souls (Cirque Du Freak, #10)",4.19,188,796,3094,5525,8678,https://images.gr-assets.com/books/1255988654m/8951.jpg
6176,A. Meredith Walters,"Find You in the Dark (Find You in the Dark, #1)",3.98,725,1439,4754,8785,9389,https://images.gr-assets.com/books/1359627731m/16081754.jpg
6177,Erica Bauermeister,The School of Essential Ingredients,3.78,370,1428,5344,7476,4960,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6178,Amy A. Bartol,"Intuition (The Premonition, #2)",4.29,247,599,2798,6308,10712,https://images.gr-assets.com/books/1327897016m/13281637.jpg
6179,Bernard Cornwell,Azincourt,4.11,143,525,3204,7413,6579,https://images.gr-assets.com/books/1327151016m/3276012.jpg
6180,Roddy Doyle,Paddy Clarke Ha Ha Ha,3.75,325,1171,4673,6759,3845,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6181,Anne Tyler,Dinner at the Homesick Restaurant,3.82,313,1124,5054,7752,4733,https://images.gr-assets.com/books/1502218870m/77699.jpg
6182,V.C. Andrews,"Heaven (Casteel, #1)",4.01,240,1013,4153,5713,7133,https://images.gr-assets.com/books/1321683934m/787660.jpg
6183,Jenny Nimmo,"Charlie Bone and the Hidden King (The Children of the Red King, #5)",3.98,282,970,4579,6532,6981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6184,Martin Amis,Money,3.71,728,1467,4072,5751,4372,https://images.gr-assets.com/books/1367084993m/18825.jpg
6185,John Sandford,"Secret Prey (Lucas Davenport, #9)",4.25,71,208,2650,7731,7842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6186,"Chris Ryall, Gabriel Rodríguez, Clive Barker",The Complete Clive Barker's The Great And Secret Show,4.21,146,468,2479,5455,7147,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6187,Arthur Conan Doyle,His Last Bow: 8 Stories,4.27,120,436,3353,7590,10642,https://images.gr-assets.com/books/1368588782m/754713.jpg
6188,"Brian Herbert, Kevin J. Anderson",House Atreides (Prelude to Dune #1),3.69,760,1577,4825,5929,4787,https://images.gr-assets.com/books/1403181106m/761575.jpg
6189,Diana Wynne Jones,"Charmed Life (Chrestomanci, #1)",3.95,661,1194,5133,9051,8212,https://images.gr-assets.com/books/1396706429m/244572.jpg
6190,Charles Dickens,The Pickwick Papers,3.82,537,1496,5076,6842,6060,https://images.gr-assets.com/books/1360795072m/229432.jpg
6191,Joseph O'Neill,Netherland,3.4,685,2192,5224,5338,2295,https://images.gr-assets.com/books/1344205853m/2615008.jpg
6192,Steve Berry,The Romanov Prophecy,3.9,220,901,4627,7241,5311,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6193,Larissa Ione,Ecstasy Unveiled (Demonica #4),4.36,140,433,2892,8194,12938,https://images.gr-assets.com/books/1327876614m/6660747.jpg
6194,Alan Bennett,The Uncommon Reader,3.82,308,1378,6039,9331,5580,https://images.gr-assets.com/books/1317064291m/1096390.jpg
6195,"Franz Kafka, بهرام مقدادی",Amerika,3.73,300,1280,5012,6280,3973,https://images.gr-assets.com/books/1327894257m/22911.jpg
6196,"Steve Niles, Ben Templesmith","30 Days of Night, Vol. 1",3.81,430,1326,4123,4993,5023,https://images.gr-assets.com/books/1178747918m/831829.jpg
6197,Erin Hunter,"Sunset (Warriors: The New Prophecy, #6)",4.35,200,642,2806,5263,12165,https://images.gr-assets.com/books/1363488668m/197459.jpg
6198,"يوسف زيدان, Youssef Ziedan",النبطي,3.43,709,1626,4112,3913,2255,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6199,Hillary Jordan,When She Woke,3.67,528,1771,6346,8527,4365,https://images.gr-assets.com/books/1358274814m/11045709.jpg
6200,Sidney Sheldon,The Naked Face,3.51,341,1706,5510,4656,2616,https://images.gr-assets.com/books/1398003487m/300226.jpg
6201,Meg Cabot,"Princess in Training (The Princess Diaries, #6)",3.7,375,2168,8440,8115,6264,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6202,"Christopher Hitchens, Titus Lucretius Carus, Omar Khayyám, Thomas Hobbes, Baruch Spinoza, David Hume, James Boswell, Percy Bysshe Shelley, George Eliot, Charles Darwin, Leslie Stephen, Anatole France, Mark Twain, Joseph Conrad, Thomas Hardy, Emma Goldman, H.P. Lovecraft, Carl Van Doren, H.L. Mencken, Sigmund Freud, Albert Einstein, George Orwell, John Betjeman, Chapman Cohen, Bertrand Russell, Philip Larkin, Martin Gardner, Carl Sagan, John Updike, John Leslie Mackie, Michael Shermer, A.J. Ayer, Daniel C. Dennett, Charles Templeton, Richard Dawkins, Victor J. Stenger, Elizabeth S.  Anderson, Penn Jillette, Ian McEwan, Steven Weinberg, Salman Rushdie, Ibn Warraq, Sam Harris, A.C. Grayling, Ayaan Hirsi Ali, John Stuart Mill, Karl Marx",The Portable Atheist: Essential Readings for the Nonbeliever,4.02,435,630,2727,5368,5638,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6203,Larissa Ione,Sin Undone (Demonica #5),4.35,186,485,2903,7550,12806,https://images.gr-assets.com/books/1344263648m/7715664.jpg
6204,Fritjof Capra,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,3.96,318,750,2973,4794,4927,https://images.gr-assets.com/books/1327908532m/10238.jpg
6205,Madeline Sheehan,"Unbeautifully (Undeniable, #2)",4.38,321,641,2992,8734,16086,https://images.gr-assets.com/books/1356218822m/16114861.jpg
6206,Kathryn Croft,The Girl With No Past,3.59,577,1570,4786,5674,3157,https://images.gr-assets.com/books/1440440726m/26158341.jpg
6207,Jeff VanderMeer,"Acceptance (Southern Reach, #3)",3.58,424,1860,5119,6065,3125,https://images.gr-assets.com/books/1403941598m/18077752.jpg
6208,Kristen Ashley,"Lady Luck (Colorado Mountain, #3)",4.44,180,529,2862,9325,17879,https://images.gr-assets.com/books/1327912930m/12958487.jpg
6209,Elizabeth Eulberg,"The Lonely Hearts Club (The Lonely Hearts Club, #1)",3.83,486,1678,5368,7293,6585,https://images.gr-assets.com/books/1479699351m/6609714.jpg
6210,Julie Garwood,"Ransom (Highlands' Lairds, #2)",4.33,110,541,3237,7773,12662,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6211,Agatha Christie,"The Big Four (Hercule Poirot, #5)",3.6,655,2484,6645,6741,5039,https://images.gr-assets.com/books/1372506728m/16316.jpg
6212,Agatha Christie,"Peril at End House (Hercule Poirot, #8)",3.89,98,803,6497,9806,5915,https://images.gr-assets.com/books/1327938128m/16424.jpg
6213,Renée Knight,Disclaimer,3.58,540,1584,5210,6557,2929,https://images.gr-assets.com/books/1417259186m/23346719.jpg
6214,Veronica Roth,"The Divergent Series 2-Book Collection (Divergent, #1-2)",4.56,158,254,1059,2666,9901,https://images.gr-assets.com/books/1341816250m/15743078.jpg
6215,"Umberto Eco, Richard Dixon",The Prague Cemetery,3.39,1072,2393,5424,5584,2883,https://images.gr-assets.com/books/1327902035m/10314376.jpg
6216,Yann Martel,Beatrice and Virgil,3.13,1878,3191,5198,4308,2416,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6217,Hiroyuki Takei,"Shaman King, Vol. 1: A Shaman in Tokyo",4.14,268,742,2639,3610,6841,https://images.gr-assets.com/books/1444234846m/885744.jpg
6218,Robert Jordan,"From the Two Rivers: The Eye of the World, Part 1 (Wheel of time, #1-1)",4.26,394,477,1775,4006,7665,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6219,Michio Kaku,Hyperspace,4.11,276,624,2622,5315,6313,https://images.gr-assets.com/books/1404794967m/33426.jpg
6220,Steven Pinker,How the Mind Works,3.97,391,770,2892,5283,5131,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6221,Bella Forrest,"A Castle of Sand (A Shade of Vampire, #3)",4.1,240,836,3631,6600,7932,https://images.gr-assets.com/books/1368555992m/17925397.jpg
6222,Karen Kingsbury,"Leaving (Bailey Flanigan, #1)",4.22,325,592,2073,3937,7437,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6223,Ian Fleming,"Live and Let Die (James Bond, #2)",3.62,218,1337,6315,6773,2983,https://images.gr-assets.com/books/1327953982m/3763.jpg
6224,Kate Egan,The World of the Hunger Games (Hunger Games Trilogy),4.48,178,379,1645,2808,10325,https://images.gr-assets.com/books/1327937151m/11873368.jpg
6225,"John Stuart Mill, George Sher",Utilitarianism,3.65,422,1440,4963,5307,3552,https://images.gr-assets.com/books/1405624617m/584637.jpg
6226,Andrew  Smith,"Winger (Winger, #1)",4.08,748,1041,2875,6043,8753,https://images.gr-assets.com/books/1367927656m/11861815.jpg
6227,Mitch Albom,The Magic Strings of Frankie Presto,4.32,336,520,2038,5873,10061,https://images.gr-assets.com/books/1426364478m/25142924.jpg
6228,Robin Hobb,"Fool's Quest  (The Fitz and The Fool, #2)",4.53,50,159,1125,5172,10634,https://images.gr-assets.com/books/1420496252m/23157777.jpg
6229,Jack Finney,Invasion of the Body Snatchers,3.88,251,962,4123,5573,4900,https://images.gr-assets.com/books/1344394499m/127515.jpg
6230,Melvin Burgess,Smack,3.87,364,1147,3842,5076,5185,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6231,"Bill O'Reilly, Martin Dugard",Killing Patton: The Strange Death of World War II's Most Audacious General,4.08,263,546,2623,6243,5763,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6232,"Keigo Higashino, Alexander O. Smith",The Devotion of Suspect X,4.05,140,633,3108,7197,5576,https://images.gr-assets.com/books/1312051518m/8686068.jpg
6233,Jenny Nimmo,"Charlie Bone and the Time Twister (The Children of the Red King, #2)",3.88,292,1090,5345,6894,6059,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6234,Irvine Welsh,Porno,3.78,221,1029,4352,6056,3657,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6235,Jenny Nimmo,"Charlie Bone and the Invisible Boy (The Children of the Red King, #3)",3.89,281,1137,5345,6732,6338,https://images.gr-assets.com/books/1328867540m/106129.jpg
6236,Hugh Howey,"First Shift: Legacy (Shift, #1)",4.21,91,321,2287,6302,6474,https://images.gr-assets.com/books/1334528415m/13603717.jpg
6237,"James Patterson, Michael Ledwidge","Worst Case (Michael Bennett, #3)",4.0,141,634,4340,8066,5961,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6238,Daniel Silva,The Unlikely Spy,4.22,136,407,2463,6670,7463,https://images.gr-assets.com/books/1309203396m/93797.jpg
6239,Ellen Schreiber,"Royal Blood (Vampire Kisses, #6)",4.09,411,1225,4169,4931,9749,https://images.gr-assets.com/books/1318011052m/5111039.jpg
6240,Neale Donald Walsch,"Conversations With God: An Uncommon Dialogue, Book 3",4.18,316,573,2069,3394,6514,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6241,Patti Smith,M Train,3.94,762,1128,3562,6555,6888,https://images.gr-assets.com/books/1429289871m/24728470.jpg
6242,Louise Erdrich,Love Medicine,3.98,248,812,3544,6842,5583,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6243,Brad Meltzer,"The Inner Circle (Culper Ring, #1)",3.76,344,1120,4546,6633,3882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6244,Jessica Day George,"Dragon Slippers (Dragon Slippers, #1)",4.22,268,592,3415,7794,10406,https://images.gr-assets.com/books/1316730294m/669570.jpg
6245,Carrie Fisher,The Princess Diarist,3.66,376,1952,7719,8535,4772,https://images.gr-assets.com/books/1496315917m/26025989.jpg
6246,Steven Erikson,"The Crippled God (The Malazan Book of the Fallen, #10)",4.44,133,392,1553,4461,10051,https://images.gr-assets.com/books/1320388198m/8447255.jpg
6247,Rachel Renée Russell,"Tales from a Not-So-Graceful Ice Princess (Dork Diaries, #4)",4.38,297,511,1812,3349,9549,https://images.gr-assets.com/books/1370064558m/13545345.jpg
6248,Lisa McMann,"Gone (Wake, #3)",3.72,659,2657,7375,7894,7473,https://images.gr-assets.com/books/1269866682m/7124095.jpg
6249,"Brian K. Vaughan, Niko Henrichon",Pride of Baghdad,3.88,416,1240,4268,6350,5872,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6250,Michel Houellebecq,Soumission,3.63,478,1533,5171,7085,3161,https://images.gr-assets.com/books/1421431410m/23929479.jpg
6251,Jon Krakauer,Eiger Dreams: Ventures Among Men and Mountains,3.97,108,472,3588,6525,4381,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6252,Richard K. Morgan,"Woken Furies (Takeshi Kovacs, #3)",4.1,108,545,2986,6799,5982,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6253,Amish Tripathi,"Scion of Ikshvaku (RamChandra, #1)",3.69,443,1413,4974,6029,3903,https://images.gr-assets.com/books/1428418378m/24709327.jpg
6254,Gail Carriger,"Blameless (Parasol Protectorate, #3)",4.01,113,899,6491,12936,8777,https://images.gr-assets.com/books/1293436281m/7719355.jpg
6255,Jenny McCarthy,Belly Laughs: The Naked Truth About Pregnancy and Childbirth,3.72,469,1329,3601,4579,3826,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6256,Clive Barker,Imajica,4.16,311,837,2823,5378,8149,https://images.gr-assets.com/books/1333844729m/567704.jpg
6257,William Zinsser,On Writing Well: The Classic Guide to Writing Nonfiction,4.23,89,390,2492,5962,7367,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6258,Thomas A. Harris,I'm OK - You're OK,3.7,328,1303,4207,4243,3665,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6259,Mario Puzo,The Sicilian,3.94,114,705,3708,5956,4574,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6260,Patricia Briggs,"Fire Touched (Mercy Thompson, #9)",4.35,66,275,2659,8887,11779,https://images.gr-assets.com/books/1441912000m/25776210.jpg
6261,Maeve Binchy,The Copper Beech,3.89,110,721,5249,6935,4974,https://images.gr-assets.com/books/1355114025m/34312.jpg
6262,"Jane Werner Watson, Corinne Malvern",Frosty the Snow Man,4.25,289,652,2824,3558,9174,https://images.gr-assets.com/books/1309642075m/1422926.jpg
6263,S.A. Bodeen,"The Compound (The Compound, #1)",3.87,437,1304,4443,6448,5883,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6264,James A. Michener,The Covenant,4.17,102,430,2936,6120,6945,https://images.gr-assets.com/books/1310975573m/12663.jpg
6265,Boris Vian,L'Écume des jours,4.02,582,1150,3230,5835,7561,https://images.gr-assets.com/books/1332596603m/141828.jpg
6266,Kimberly Derting,"The Pledge (The Pledge, #1)",3.8,681,2140,6696,9374,7755,https://images.gr-assets.com/books/1327878861m/10637748.jpg
6267,Nora Roberts,The Villa,3.94,243,1127,5755,7683,7313,https://images.gr-assets.com/books/1351343027m/85491.jpg
6268,Kimberly Lauren,"Beautiful Broken Rules (Broken, #1)",4.15,464,1088,4232,9999,12087,https://images.gr-assets.com/books/1365043610m/17729712.jpg
6269,Christine Feehan,"Dark Desire (Dark, #2)",4.2,239,893,3984,7501,11138,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6270,Dan Wells,"Fragments (Partials Sequence, #2)",4.12,209,622,3590,8173,7897,https://images.gr-assets.com/books/1352943797m/13170596.jpg
6271,Sarah MacLean,"A Rogue by Any Other Name (The Rules of Scoundrels, #1)",3.95,534,1175,5297,9365,7915,https://images.gr-assets.com/books/1327928208m/10428803.jpg
